kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,kills (stayed alive),num lives,avg time per life (s),hill time (s),2-piece
27,25,2,1.08,23.9,22.1,19,28,22.2,83,7
25,23,2,1.09,22.1,20.4,20,24,26.3,60,5
22,27,-5,0.81,19.5,23.9,15,29,21.5,24,1
25,25,0,1.0,21.3,21.3,20,26,25.1,84,1
28,30,-2,0.93,23.9,25.6,21,31,20.7,18,5
32,34,-2,0.94,27.3,29.0,20,35,18.0,67,3
29,28,1,1.04,24.8,23.9,22,30,21.4,75,5
23,26,-3,0.88,19.6,22.2,16,27,24.1,133,2
28,34,-6,0.82,23.9,29.0,19,36,17.5,54,3
41,25,16,1.64,35.0,21.3,33,27,24.0,29,8
25,29,-4,0.86,21.3,24.8,14,30,21.5,80,2
37,29,8,1.28,28.2,22.1,28,30,24.2,85,5
37,39,-2,0.95,28.2,29.8,24,40,17.7,21,6
41,29,12,1.41,31.3,22.1,33,30,24.2,87,4
26,40,-14,0.65,19.8,30.5,15,41,17.2,93,3
30,36,-6,0.83,22.9,27.5,21,38,18.7,72,3
35,37,-2,0.95,26.7,28.2,20,38,18.6,83,4
33,31,2,1.06,25.2,23.7,22,33,21.8,27,2
39,37,2,1.05,29.8,28.2,28,39,18.2,52,4
20,26,-6,0.77,19.6,25.5,15,27,20.7,49,3
28,25,3,1.12,27.5,24.5,18,27,20.7,58,6
25,24,1,1.04,24.5,23.6,14,25,22.5,83,5
27,18,9,1.5,26.5,17.7,25,19,30.2,120,5
20,26,-6,0.77,19.6,25.5,13,27,20.6,82,1
26,26,0,1.0,25.5,25.5,17,28,19.9,32,3
26,25,1,1.04,25.5,24.5,15,26,21.5,53,2
21,23,-2,0.91,20.6,22.6,13,24,23.5,20,1
26,21,5,1.24,27.1,21.9,18,22,24.2,71,3
21,23,-2,0.91,21.9,24.0,13,24,22.0,42,1
17,20,-3,0.85,17.7,20.8,11,21,25.5,129,1
29,25,4,1.16,30.2,26.0,19,26,20.2,67,4
19,27,-8,0.7,19.8,28.1,11,28,18.6,73,1
19,24,-5,0.79,19.8,25.0,11,25,21.1,93,2
30,22,8,1.36,31.2,22.9,21,23,23.0,44,6
21,20,1,1.05,21.9,20.8,14,20,26.8,49,3
32,36,-4,0.89,26.8,30.1,18,38,16.8,98,5
30,28,2,1.07,25.1,23.4,23,29,22.8,45,2
36,30,6,1.2,30.1,25.1,22,30,21.8,83,3
33,35,-2,0.94,27.6,29.3,23,36,17.9,33,2
37,35,2,1.06,31.0,29.3,21,35,18.5,82,4
30,35,-5,0.86,25.1,29.3,21,37,17.4,59,3
30,31,-1,0.97,25.1,25.9,21,32,20.4,91,5
32,30,2,1.07,26.8,25.1,21,31,21.2,91,5
32,18,14,1.78,29.7,16.7,26,19,32.1,58,6
25,24,1,1.04,23.2,22.3,20,26,22.9,27,3
18,35,-17,0.51,16.7,32.5,7,36,16.0,40,1
25,31,-6,0.81,23.2,28.7,15,32,18.3,82,3
24,22,2,1.09,22.3,20.4,18,23,26.2,78,2
33,25,8,1.32,30.6,23.2,22,26,22.9,71,4
32,22,10,1.45,29.7,20.4,22,23,26.2,22,1
19,31,-12,0.61,17.6,28.7,13,32,18.2,100,1
32,23,9,1.39,33.4,24.0,24,23,23.0,32,5
26,20,6,1.3,27.1,20.9,22,21,25.4,125,2
24,20,4,1.2,25.0,20.9,16,21,25.4,103,1
31,24,7,1.29,32.3,25.0,23,25,21.1,56,6
22,31,-9,0.71,23.0,32.3,10,31,16.5,35,2
29,28,1,1.04,30.3,29.2,18,28,18.5,24,2
23,26,-3,0.88,24.0,27.1,17,27,19.2,34,2
13,28,-15,0.46,13.6,29.2,7,29,17.8,48,0
20,29,-9,0.69,17.1,24.8,13,31,20.6,52,2
28,25,3,1.12,24.0,21.4,22,26,24.9,103,4
27,33,-6,0.82,23.1,28.2,16,35,17.7,90,4
28,25,3,1.12,24.0,21.4,21,26,25.0,57,2
29,31,-2,0.94,24.8,26.5,19,33,19.3,47,5
28,30,-2,0.93,24.0,25.7,17,32,19.8,68,0
27,19,8,1.42,23.1,16.3,20,20,33.1,81,2
28,23,5,1.22,24.0,19.7,20,24,27.2,114,4
33,27,6,1.22,27.0,22.1,23,29,22.9,81,4
30,28,2,1.07,24.6,23.0,20,29,23.2,65,6
23,29,-6,0.79,18.9,23.8,15,30,22.4,57,4
30,35,-5,0.86,24.6,28.7,17,37,17.8,75,5
30,31,-1,0.97,24.6,25.4,14,32,20.9,110,4
27,32,-5,0.84,22.1,26.2,16,34,19.4,46,5
31,27,4,1.15,25.4,22.1,20,28,24.1,79,5
31,26,5,1.19,25.4,21.3,23,28,24.2,79,4
25,38,-13,0.66,21.2,32.3,18,39,16.1,46,5
31,31,0,1.0,26.3,26.3,22,32,20.1,44,4
31,29,2,1.07,26.3,24.6,20,30,21.5,87,2
41,38,3,1.08,34.8,32.3,27,38,16.5,72,5
26,32,-6,0.81,22.1,27.2,19,33,19.4,102,5
34,37,-3,0.92,28.9,31.4,20,38,16.6,57,7
32,27,5,1.19,27.2,22.9,22,28,23.2,46,6
44,32,12,1.38,37.4,27.2,26,33,19.4,77,5
28,21,7,1.33,28.4,21.3,20,22,25.0,71,4
24,18,6,1.33,24.3,18.2,18,19,29.2,64,4
22,21,1,1.05,22.3,21.3,17,22,25.0,48,3
29,25,4,1.16,29.4,25.3,21,27,20.0,79,5
27,26,1,1.04,27.4,26.4,17,27,19.9,33,2
17,28,-11,0.61,17.2,28.4,8,31,17.1,18,1
24,23,1,1.04,24.3,23.3,19,25,21.7,45,5
17,26,-9,0.65,17.2,26.4,12,28,19.2,67,1
19,33,-14,0.58,17.8,31.0,11,34,16.8,41,2
26,37,-11,0.7,24.4,34.7,20,38,14.8,5,5
34,31,3,1.1,31.9,29.1,20,32,17.8,6,5
21,30,-9,0.7,19.7,28.2,13,31,18.6,87,1
42,24,18,1.75,39.4,22.5,31,25,23.6,79,7
22,28,-6,0.79,20.7,26.3,17,29,20.0,67,4
35,20,15,1.75,32.9,18.8,30,21,28.5,79,5
32,28,4,1.14,30.0,26.3,19,29,20.1,52,5
24,25,-1,0.96,24.9,25.9,13,26,20.3,35,2
20,22,-2,0.91,20.7,22.8,16,24,22.2,67,1
17,25,-8,0.68,17.6,25.9,8,26,20.3,54,2
19,30,-11,0.63,19.7,31.1,14,31,16.7,37,2
22,21,1,1.05,22.8,21.8,17,22,24.4,54,2
25,24,1,1.04,25.9,24.9,15,26,20.3,58,3
37,15,22,2.47,38.3,15.5,29,16,34.3,116,4
18,20,-2,0.9,18.7,20.7,16,21,25.6,76,4
18,26,-8,0.69,20.3,29.3,9,29,16.3,41,3
21,24,-3,0.88,23.6,27.0,15,25,19.4,12,1
16,23,-7,0.7,18.0,25.9,10,25,19.4,76,2
20,26,-6,0.77,22.5,29.3,12,27,17.7,41,3
23,24,-1,0.96,25.9,27.0,16,27,17.4,79,5
24,14,10,1.71,27.0,15.8,18,15,33.6,117,4
26,18,8,1.44,29.3,20.3,20,21,23.4,40,2
26,19,7,1.37,29.3,21.4,19,20,24.6,68,2
29,25,4,1.16,29.1,25.1,22,26,21.0,68,3
21,28,-7,0.75,21.1,28.1,13,30,18.0,36,4
20,30,-10,0.67,20.1,30.1,11,31,17.0,67,2
24,23,1,1.04,24.1,23.1,13,23,24.0,69,3
24,25,-1,0.96,24.1,25.1,14,28,19.4,72,4
28,30,-2,0.93,28.1,30.1,18,31,17.3,73,3
18,17,1,1.06,18.1,17.1,15,18,31.3,125,2
36,22,14,1.64,36.1,22.1,27,23,24.0,74,4
31,30,1,1.03,26.9,26.0,24,31,20.2,66,3
34,33,1,1.03,29.5,28.6,19,33,18.9,45,4
30,33,-3,0.91,26.0,28.6,21,34,18.3,37,3
30,30,0,1.0,26.0,26.0,17,31,20.4,89,4
32,32,0,1.0,27.7,27.7,19,33,19.0,86,2
28,30,-2,0.93,24.3,26.0,18,31,20.3,72,2
34,30,4,1.13,29.5,26.0,22,31,20.4,66,4
32,33,-1,0.97,27.7,28.6,19,35,17.8,53,6
31,20,11,1.55,28.3,18.2,25,21,29.4,60,5
23,27,-4,0.85,21.0,24.6,16,29,20.7,54,2
26,19,7,1.37,23.7,17.3,23,20,31.0,98,3
31,26,5,1.19,28.3,23.7,23,28,19.9,61,4
28,31,-3,0.9,25.5,28.3,18,31,19.3,62,2
20,31,-11,0.65,18.2,28.3,11,32,18.6,24,2
22,21,1,1.05,20.1,19.1,17,22,27.9,65,2
22,28,-6,0.79,20.1,25.5,16,29,20.7,55,4
33,36,-3,0.92,27.3,29.8,20,37,17.6,93,8
32,38,-6,0.84,26.5,31.4,23,39,16.6,48,2
30,28,2,1.07,24.8,23.2,20,28,23.9,116,3
30,32,-2,0.94,24.8,26.5,22,33,20.0,51,4
37,35,2,1.06,30.6,29.0,25,38,17.1,52,6
25,28,-3,0.89,20.7,23.2,17,29,23.1,54,0
38,27,11,1.41,31.4,22.3,29,28,23.9,89,4
34,35,-1,0.97,28.1,29.0,17,35,18.7,56,3
27,33,-6,0.82,23.2,28.3,17,35,17.8,42,2
